City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
274,Am Timan,TD,11.0297,20.2827,66.25,22,12,6.2,few clouds
275,Turukhansk,RU,65.8167,87.9833,1.31,94,100,11.74,overcast clouds
276,Villaviciosa,ES,43.4813,-5.4357,47.97,100,46,6.17,scattered clouds
277,Meadow Lake,US,34.8014,-106.5436,35.11,52,0,3.44,clear sky
278,Tebingtinggi,ID,3.3285,99.1625,87.85,52,50,5.06,scattered clouds
279,Dubbo,AU,-32.25,148.6167,86.13,45,91,8.05,light rain
280,Magistralnyy,RU,56.1725,107.4458,0.23,92,97,1.9,overcast clouds
281,Saint-Joseph,RE,-21.3667,55.6167,82.76,72,0,8.08,clear sky
282,Oktyabrskoye,RU,43.0645,44.7417,12.34,92,8,4.47,clear sky
283,Saint-Augustin,CA,51.226,-58.6502,-0.36,85,100,10.49,overcast clouds
284,Georgetown,MY,5.4112,100.3354,91.33,70,20,8.99,haze
285,Athabasca,CA,54.7169,-113.2854,32.41,90,100,4.18,overcast clouds
286,Aksay,RU,47.26,39.87,33.6,98,100,13.0,overcast clouds
287,Yenagoa,NG,4.9247,6.2642,73.67,93,81,3.78,broken clouds
288,Syracuse,IT,37.0881,15.2792,47.57,80,29,17.58,scattered clouds
289,Corinto,GR,37.9407,22.9573,50.9,82,100,3.47,overcast clouds
290,Chhatapur,IN,26.2167,87.0167,68.25,40,0,8.34,clear sky
291,Liverpool,GB,53.4106,-2.9779,53.76,81,100,3.0,overcast clouds
292,Tacna,PE,-18.0056,-70.2483,59.9,87,99,3.18,overcast clouds
293,Sesvete,HR,45.8311,16.1164,31.8,75,0,1.14,clear sky
294,Gravdal,NO,68.1214,13.5031,29.98,62,100,22.91,light snow
295,Farmington,US,36.7281,-108.2187,25.99,58,0,5.75,clear sky
296,Dhidhdhoo,MV,6.8833,73.1,81.46,74,33,20.62,scattered clouds
297,Tautira,PF,-17.7333,-149.15,80.62,75,48,16.51,light rain
298,Salta,AR,-24.7859,-65.4117,65.57,78,100,1.99,overcast clouds
299,Narino,CO,5.6089,-75.1766,63.54,96,80,2.46,broken clouds
300,San Cristobal,VE,7.7669,-72.225,69.98,83,3,2.95,clear sky
301,Cam Ranh,VN,11.9214,109.1591,82.36,61,0,10.36,clear sky
302,Touros,BR,-5.1989,-35.4608,70.7,84,100,6.35,moderate rain
303,Roald,NO,62.5833,6.1333,44.33,93,100,10.36,light rain
304,Asfi,MA,32.2994,-9.2372,59.65,54,35,8.01,scattered clouds
305,Isangel,VU,-19.55,169.2667,78.91,94,100,6.91,shower rain
306,Erdemli,TR,36.605,34.3084,42.44,55,2,7.25,clear sky
307,Minna,NG,9.6139,6.5569,69.51,23,9,17.27,haze
308,Miyako,JP,39.6367,141.9525,36.66,45,66,10.8,broken clouds
309,Anadyr,RU,64.75,177.4833,-3.5,83,100,0.0,fog
